,BMUID,temp,wspd,wgust,sealevelpressure,visibility,cloudcover,precip,dew,humidity,loadFactor
182,TULWW-1,4.5,21.4,16.3,1005.2,30.9,0.0,0.0,1.6,81.5,0.6854117647058823
183,TULWW-1,12.6,12.1,23.1,998.0,28.1,1.7,0.0,11.9,95.44,0.6854117647058823
184,TULWW-2,3.6,9.8,4.0,1001.0,13.8,3.9,0.0,3.0,96.13,0.08256000000000001
185,TULWW-2,4.5,21.4,16.3,1005.2,30.9,0.0,0.0,1.6,81.5,0.65176
186,TULWW-2,12.6,12.1,23.1,998.0,28.1,1.7,0.0,11.9,95.44,0.73248
187,WHIHW-1,1.8,4.9,,1001.6,23.2,26.7,0.0,1.1,95.51,0.07229629629629629
188,WHIHW-1,6.2,12.9,,1009.2,16.5,62.0,0.0,4.2,87.02,0.3654074074074074
189,WHIHW-1,14.0,12.1,,1001.1,10.7,90.0,0.0,13.2,94.71,0.2531851851851852
190,WHILW-1,14.3,6.2,13.0,1015.7,21.5,94.3,0.0,11.3,82.26,0.18254658385093167
191,WHILW-1,2.8,2.4,0.9,1001.9,28.6,45.2,0.0,1.4,90.97,0.0568944099378882
192,WHILW-1,6.1,8.0,8.1,1008.7,20.6,63.2,0.0,4.1,87.1,0.1658385093167702
193,WHILW-1,14.2,7.3,8.1,1000.7,21.1,89.6,0.0,12.8,91.46,0.2181366459627329
194,WHILW-2,14.8,9.1,,1015.7,22.2,93.7,0.0,11.8,81.84,0.17783193277310924
195,WHILW-2,2.0,4.3,,1001.8,26.1,38.7,0.0,1.2,94.25,0.044042016806722685
196,WHILW-2,6.2,11.3,,1008.8,19.6,65.5,0.0,4.2,86.7,0.18903361344537817
197,WHILW-2,14.0,10.7,,1000.8,18.2,89.6,0.0,13.0,93.79,0.15554621848739497
